Date,Time,.SS,MoistureSensorRawAdcFromMc,MoistureSensorRawAdc,RawMoistureSensorComputedVoltsx100,FilteredMoistureSensorFromMc,SmoothMoistureReading,MoistureSensorRawAdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,F0B8,F308,F331,F017,F322,F308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2023,13:49:32:.920,.920,1023,1023,499,7851,8000,1023
12/04/2023,13:49:33:.530,.530,1023,1023,499,7851,8000,1023
12/04/2023,13:49:33:.638,.638,1023,1023,499,7851,8000,1023
12/04/2023,13:49:33:.745,.745,1023,1023,499,7851,8000,1023
12/04/2023,13:49:33:.851,.851,1023,1023,499,7851,8000,1023
12/04/2023,13:49:33:.956,.956,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.064,.064,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.171,.171,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.278,.278,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.384,.384,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.490,.490,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.596,.596,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.702,.702,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.808,.808,1023,1023,499,7851,8000,1023
12/04/2023,13:49:34:.915,.915,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.021,.021,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.128,.128,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.235,.235,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.341,.341,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.447,.447,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.553,.553,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.659,.659,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.765,.765,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.871,.871,1023,1023,499,7851,8000,1023
12/04/2023,13:49:35:.977,.977,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.084,.084,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.191,.191,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.298,.298,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.405,.405,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.511,.511,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.617,.617,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.723,.723,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.830,.830,1023,1023,499,7851,8000,1023
12/04/2023,13:49:36:.938,.938,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.044,.044,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.152,.152,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.257,.257,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.364,.364,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.470,.470,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.577,.577,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.684,.684,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.791,.791,1023,1023,499,7851,8000,1023
12/04/2023,13:49:37:.897,.897,1023,1023,499,7851,8000,1023
12/04/2023,13:49:38:.005,.005,1023,1023,499,7851,8000,1023
12/04/2023,13:49:38:.112,.112,1023,1023,499,7851,8000,1023
12/04/2023,13:49:38:.218,.218,1023,1023,499,7851,8000,1023
12/04/2023,13:49:38:.326,.326,1023,1023,499,7851,8000,1023
